rank,set,dice,nsd,hd95,ret,dice_pre,dice_post
0,REAL_T2,0.6624126842726568,0.7244888062169278,5.352169891822175,100.0,0.7357692760119727,0.572127648285806
1,ResViT-2D+3D-refine-T2-from-single,0.4068125532553014,0.3964810216858977,11.444939892295725,61.413762585478,0.5458253994828748,0.2357198194367496
2,ResViT-2.5D-T2-from-single,0.3764264337503501,0.39216208454065865,12.734690063607466,56.82657393006814,0.5039998390509548,0.21941301184191367
3,SynDiff-2D-T2,0.3688839784816617,0.3880963493199973,10.827217476563451,55.68794004702736,0.47685323145533864,0.23599874405252091
4,ResViT-3D-T2-from-single,0.3590475775562457,0.41130898012781947,10.210462520355975,54.20300457417835,0.4071908266372435,0.2997943479180948
5,SynDiff-3D+3D-refine-T2,0.35241094478288865,0.3603397111620846,12.88156000352274,53.20111663771103,0.45829775989063304,0.22208871080412634
6,ResViT-2D-T2-from-single,0.35220472726151825,0.3763179495349147,12.430009924943048,53.16998536165511,0.4785261283528372,0.19673223361066422
7,SynDiff-2.5D-T2,0.34994330798950973,0.38103887666553554,11.429385222731476,52.82859406198644,0.4582321954311536,0.2166646772921021
8,SynDiff-3D+3D-refine-T2-from-dual,0.3430404006221662,0.3941281965576328,12.569235638141048,51.786508436026075,0.4155451869917681,0.25380374047496396
12,GAN-cyclegan-2D-T2-from-dual,0.32169286754336796,0.26373012698590614,15.751665475053592,48.56381454962529,0.39742097687482386,0.19187325154658638
