class,phase,best_set,set,n_paired,dice_mean_set,dice_mean_best,wilcoxon_stat,p_value
cavity,preop,REAL_FLAIR,ResViT-3D-FLAIR,3,0.05218074153915223,0.2952443852322392,3.0,1.0
cavity,preop,REAL_FLAIR,SynDiff-2.5D-FLAIR,3,0.0026816383208393174,0.2952443852322392,0.0,0.25
cavity,preop,REAL_FLAIR,SynDiff-2D-FLAIR,3,0.04425102155399713,0.2952443852322392,1.0,0.5
cavity,preop,REAL_FLAIR,SynDiff-3D+3D-refine-FLAIR,3,0.06229662467302419,0.2952443852322392,1.0,0.5
cavity,preop,REAL_FLAIR,SynDiff-3D-FLAIR,3,0.11165280517897153,0.2952443852322392,2.0,0.75
cavity,postop,REAL_FLAIR,GAN-cut-2.5D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-cut-2D+3D-post-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-cut-2D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-cut-3D-FLAIR,6,0.008136482939632546,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-cyclegan-2.5D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-cyclegan-2D+3D-post-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-cyclegan-2D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-cyclegan-3D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-pix2pix-2.5D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-pix2pix-2D+3D-post-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-pix2pix-2D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-pix2pix-3D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-swinpix2pix-2.5D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-swinpix2pix-2D+3D-post-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-swinpix2pix-2D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,GAN-swinpix2pix-3D-FLAIR,6,0.0,0.46770100931009057,0.0,0.043114446783075355
cavity,postop,REAL_FLAIR,ResViT-2.5D-FLAIR,6,0.2035142309509541,0.46770100931009057,3.0,0.22491588401596185
cavity,postop,REAL_FLAIR,ResViT-2D+3D-refine-FLAIR,6,0.24077513759851052,0.46770100931009057,6.0,0.4375
cavity,postop,REAL_FLAIR,ResViT-2D-FLAIR,6,0.15308352811321949,0.46770100931009057,2.0,0.13801073756865953
cavity,postop,REAL_FLAIR,ResViT-3D-FLAIR,6,0.12708220525844666,0.46770100931009057,2.0,0.13801073756865953
cavity,postop,REAL_FLAIR,SynDiff-2.5D-FLAIR,6,0.18833944765131258,0.46770100931009057,5.0,0.3125
cavity,postop,REAL_FLAIR,SynDiff-2D-FLAIR,6,0.20261455784927107,0.46770100931009057,5.0,0.3125
cavity,postop,REAL_FLAIR,SynDiff-3D+3D-refine-FLAIR,6,0.1841145195548239,0.46770100931009057,5.0,0.3125
cavity,postop,REAL_FLAIR,SynDiff-3D-FLAIR,6,0.2128331970533631,0.46770100931009057,5.0,0.3125
lesion,all,REAL_FLAIR,GAN-cut-2.5D-FLAIR,19,0.27474162224695664,0.510616550963707,20.0,0.00141143798828125
lesion,all,REAL_FLAIR,GAN-cut-2D+3D-post-FLAIR,19,0.263065995119778,0.510616550963707,23.0,0.002399444580078125
lesion,all,REAL_FLAIR,GAN-cut-2D-FLAIR,19,0.18620142735917913,0.510616550963707,13.0,0.000335693359375
lesion,all,REAL_FLAIR,GAN-cut-3D-FLAIR,19,0.32254798177424276,0.510616550963707,35.0,0.014068603515625
lesion,all,REAL_FLAIR,GAN-cyclegan-2.5D-FLAIR,19,0.26062566521812824,0.510616550963707,23.0,0.002399444580078125
lesion,all,REAL_FLAIR,GAN-cyclegan-2D+3D-post-FLAIR,19,0.3183669056842059,0.510616550963707,35.0,0.014068603515625
lesion,all,REAL_FLAIR,GAN-cyclegan-2D-FLAIR,19,0.3302163003121927,0.510616550963707,32.0,0.00945281982421875
lesion,all,REAL_FLAIR,GAN-cyclegan-3D-FLAIR,19,0.29941757857110557,0.510616550963707,19.0,0.001171112060546875
lesion,all,REAL_FLAIR,GAN-pix2pix-2.5D-FLAIR,19,0.33802761887008503,0.510616550963707,18.0,0.000965118408203125
lesion,all,REAL_FLAIR,GAN-pix2pix-2D+3D-post-FLAIR,19,0.3280633147337457,0.510616550963707,31.0,0.00823211669921875
lesion,all,REAL_FLAIR,GAN-pix2pix-2D-FLAIR,19,0.3266886189403955,0.510616550963707,35.0,0.014068603515625
lesion,all,REAL_FLAIR,GAN-pix2pix-3D-FLAIR,19,0.22728992071635826,0.510616550963707,11.0,0.000209808349609375
lesion,all,REAL_FLAIR,GAN-swinpix2pix-2.5D-FLAIR,19,0.279939142034103,0.510616550963707,20.0,0.00141143798828125
lesion,all,REAL_FLAIR,GAN-swinpix2pix-2D+3D-post-FLAIR,19,0.3505378788986273,0.510616550963707,39.0,0.02298736572265625
lesion,all,REAL_FLAIR,GAN-swinpix2pix-2D-FLAIR,19,0.34167860774264625,0.510616550963707,41.0,0.0289306640625
lesion,all,REAL_FLAIR,GAN-swinpix2pix-3D-FLAIR,19,0.1966028395249543,0.510616550963707,12.0,0.00026702880859375
lesion,all,REAL_FLAIR,ResViT-2.5D-FLAIR,19,0.3725674632968583,0.510616550963707,39.0,0.04285796577660062
lesion,all,REAL_FLAIR,ResViT-2D+3D-refine-FLAIR,19,0.34068043075354665,0.510616550963707,28.0,0.005329132080078125
lesion,all,REAL_FLAIR,ResViT-2D-FLAIR,19,0.3277287243579571,0.510616550963707,29.0,0.0061798095703125
lesion,all,REAL_FLAIR,ResViT-3D-FLAIR,19,0.3656757895914608,0.510616550963707,36.0,0.031103769479907197
lesion,all,REAL_FLAIR,SynDiff-2.5D-FLAIR,19,0.27572249265895155,0.510616550963707,26.0,0.003917694091796875
lesion,all,REAL_FLAIR,SynDiff-2D-FLAIR,19,0.35632672371322516,0.510616550963707,38.0,0.020412445068359375
lesion,all,REAL_FLAIR,SynDiff-3D+3D-refine-FLAIR,19,0.33873987511213655,0.510616550963707,30.0,0.007144927978515625
lesion,all,REAL_FLAIR,SynDiff-3D-FLAIR,19,0.2729171337822559,0.510616550963707,24.0,0.002838134765625
lesion,preop,REAL_FLAIR,GAN-cut-2.5D-FLAIR,12,0.3379972129867674,0.5754314212855025,9.0,0.01611328125
lesion,preop,REAL_FLAIR,GAN-cut-2D+3D-post-FLAIR,12,0.36730279058749943,0.5754314212855025,11.0,0.02685546875
lesion,preop,REAL_FLAIR,GAN-cut-2D-FLAIR,12,0.28469582757005046,0.5754314212855025,6.0,0.0068359375
lesion,preop,REAL_FLAIR,GAN-cut-3D-FLAIR,12,0.3997584982756477,0.5754314212855025,9.0,0.01611328125
lesion,preop,REAL_FLAIR,GAN-cyclegan-2.5D-FLAIR,12,0.34638557866295483,0.5754314212855025,13.0,0.04248046875
lesion,preop,REAL_FLAIR,GAN-cyclegan-2D+3D-post-FLAIR,12,0.45673132043686554,0.5754314212855025,21.0,0.17626953125
lesion,preop,REAL_FLAIR,GAN-cyclegan-2D-FLAIR,12,0.45056861897165695,0.5754314212855025,18.0,0.10986328125
lesion,preop,REAL_FLAIR,GAN-cyclegan-3D-FLAIR,12,0.3812307160029926,0.5754314212855025,6.0,0.0068359375
lesion,preop,REAL_FLAIR,GAN-pix2pix-2.5D-FLAIR,12,0.4312818241681369,0.5754314212855025,10.0,0.02099609375
lesion,preop,REAL_FLAIR,GAN-pix2pix-2D+3D-post-FLAIR,12,0.4144335532414419,0.5754314212855025,15.0,0.06396484375
lesion,preop,REAL_FLAIR,GAN-pix2pix-2D-FLAIR,12,0.39640311899770736,0.5754314212855025,15.0,0.06396484375
lesion,preop,REAL_FLAIR,GAN-pix2pix-3D-FLAIR,12,0.2835094745138151,0.5754314212855025,4.0,0.00341796875
lesion,preop,REAL_FLAIR,GAN-swinpix2pix-2.5D-FLAIR,12,0.363765522281343,0.5754314212855025,8.0,0.01220703125
lesion,preop,REAL_FLAIR,GAN-swinpix2pix-2D+3D-post-FLAIR,12,0.42859408026337514,0.5754314212855025,13.0,0.04248046875
