channel,endpoint,metric,estimator,value,ci_low,ci_high,n_obs,n_subjects,n_experiments,extra
FLAIR,dice,MAE,within_subject_r_median,-0.236,-0.437,+0.172,408,17,24,n_subjects_w_r=17; frac_same_sign=0.59
FLAIR,dice,MAE,mixed_effects_partial_r,-0.063,,,408,17,24,beta_z=-0.080; t=-1.26; p=0.206; n_obs=408
FLAIR,nsd,LPIPS,naive_pooled_r,-0.446,,,395,17,24,p=0.01956
FLAIR,nsd,LPIPS,cluster_bootstrap_by_family,-0.399,-0.565,-0.063,395,17,24,frac_same_sign=0.98
FLAIR,nsd,LPIPS,within_subject_r_median,-0.112,-0.515,+0.144,395,17,24,n_subjects_w_r=16; frac_same_sign=0.56
FLAIR,nsd,LPIPS,mixed_effects_partial_r,-0.004,,,395,17,24,beta_z=-0.004; t=-0.09; p=0.9294; n_obs=395
FLAIR,nsd,SSIM,naive_pooled_r,-0.442,,,395,17,24,p=0.02098
FLAIR,nsd,SSIM,cluster_bootstrap_by_family,-0.372,-0.779,+0.518,395,17,24,frac_same_sign=0.91
FLAIR,nsd,SSIM,within_subject_r_median,-0.043,-0.719,+0.195,395,17,24,n_subjects_w_r=16; frac_same_sign=0.50
FLAIR,nsd,SSIM,mixed_effects_partial_r,-0.129,,,395,17,24,beta_z=-0.118; t=-2.59; p=0.009645; n_obs=395
FLAIR,nsd,PSNR,naive_pooled_r,+0.242,,,395,17,24,p=0.2416
FLAIR,nsd,PSNR,cluster_bootstrap_by_family,+0.227,-0.587,+0.795,395,17,24,frac_same_sign=0.79
FLAIR,nsd,PSNR,within_subject_r_median,+0.140,-0.162,+0.296,395,17,24,n_subjects_w_r=16; frac_same_sign=0.56
FLAIR,nsd,PSNR,mixed_effects_partial_r,+0.107,,,395,17,24,beta_z=+0.120; t=+2.13; p=0.03316; n_obs=395
FLAIR,nsd,MAE,naive_pooled_r,-0.236,,,395,17,24,p=0.2538
FLAIR,nsd,MAE,cluster_bootstrap_by_family,-0.243,-0.817,+0.526,395,17,24,frac_same_sign=0.79
FLAIR,nsd,MAE,within_subject_r_median,-0.090,-0.362,+0.235,395,17,24,n_subjects_w_r=16; frac_same_sign=0.56
FLAIR,nsd,MAE,mixed_effects_partial_r,-0.113,,,395,17,24,beta_z=-0.139; t=-2.25; p=0.02463; n_obs=395
