modality,phase,class,ref_set,n_evaluable,n_gt_present,n_total,ref_dice_mean,ref_dice_sd,ref_dice_median,ref_hd95_median,ref_nsd_mean,best_synth_set,best_synth_dice_mean,best_synth_dice_sd,best_synth_hd95_median,best_synth_nsd_mean,retention_pct
T2,all,lesion,REAL_T2,29,29,29,0.6624126842726568,0.23185578015697111,0.6952143343161715,5.352169891822175,0.7244888062169278,ResViT-2D+3D-refine-T2-from-single,0.4068125532553014,0.230685676158576,11.444939892295725,0.3964810216858977,61.413762585478004
T2,preop,lesion,REAL_T2,16,16,16,0.7357692760119727,0.17842446801346606,0.7561842105607337,3.0171200165005225,0.7557279621887738,ResViT-2D+3D-refine-T2-from-single,0.5458253994828748,0.1761333463592823,8.646286929130486,0.5027403586941825,74.18431528445514
T2,postop,lesion,REAL_T2,13,13,13,0.572127648285806,0.26388167221417025,0.5677888989990901,6.179140440482272,0.6828365982544663,ResViT-3D-T2-from-single,0.2997943479180948,0.2528408477098357,11.72498491335425,0.41318653691017043,52.3999056532805
FLAIR,all,lesion,REAL_FLAIR,19,19,19,0.510616550963707,0.29533385952230834,0.5630498533724341,5.353671956252025,0.5551692276230616,ResViT-2.5D-FLAIR,0.3725674632968583,0.25186597964408003,13.29581512559552,0.33885131262133045,72.96423560765841
FLAIR,preop,lesion,REAL_FLAIR,12,12,12,0.5754314212855025,0.2897890380069729,0.5857407180402721,4.097149621574424,0.6429289664216898,ResViT-2.5D-FLAIR,0.48313134222644166,0.20211353460045123,10.53573605127549,0.40579853187615217,83.95984723029822
FLAIR,postop,lesion,REAL_FLAIR,7,7,7,0.3995053446977716,0.29137934390413306,0.4328545530609399,7.242999958416839,0.4047239611111276,ResViT-3D-FLAIR,0.23144813338283618,0.23969749265626264,14.586473966727173,0.2674598872908848,57.933676346164575
