set,study,cls,gt_present,gt_vox,pred_vox,dice,nsd
FLOOR_US,ReMIND-091-post,cavity,1,7894,1108,0.1572983781381915,0.26312154696132595
FLOOR_US,ReMIND-091-pre,lesion,1,25347,14032,0.611798166535463,0.4772828178185585
FLOOR_US,ReMIND-091-pre,tumor,1,25347,13712,0.600424998079828,0.46268225783167316
FLOOR_US,ReMIND-091-pre,cavity,0,0,320,nan,nan
FLOOR_US,ReMIND-096-post,lesion,1,2166,140,0.0,0.0
FLOOR_US,ReMIND-096-post,tumor,0,0,7,nan,nan
FLOOR_US,ReMIND-096-post,cavity,1,2166,133,0.0,0.0
FLOOR_US,ReMIND-096-pre,lesion,1,18774,19481,0.7103385178408052,0.4684180304335343
FLOOR_US,ReMIND-096-pre,tumor,1,18774,19152,0.716500553709856,0.4763361001893112
FLOOR_US,ReMIND-096-pre,cavity,0,0,329,nan,nan
FLOOR_US,ReMIND-102-pre,lesion,1,7693,8723,0.46503411306042886,0.5033771106941839
FLOOR_US,ReMIND-102-pre,tumor,1,7693,1849,0.08174386920980926,0.1645193260654113
FLOOR_US,ReMIND-102-pre,cavity,0,0,6874,nan,nan
FLOOR_US,ReMIND-107-post,lesion,1,4500,116,0.0008665511265164644,0.014817950889077053
FLOOR_US,ReMIND-107-post,tumor,1,3621,0,0.0,nan
FLOOR_US,ReMIND-107-post,cavity,1,879,116,0.0,0.0
FLOOR_US,ReMIND-107-pre,lesion,1,57631,9861,0.2689800272624904,0.22590487725345879
FLOOR_US,ReMIND-107-pre,tumor,1,57631,8985,0.24741803770865858,0.22797038429897756
FLOOR_US,ReMIND-107-pre,cavity,0,0,876,nan,nan
FLOOR_US,ReMIND-109-post,lesion,1,3408,1611,0.0,0.0
FLOOR_US,ReMIND-109-post,tumor,0,0,225,nan,nan
FLOOR_US,ReMIND-109-post,cavity,1,3408,1386,0.0,0.0
FLOOR_US,ReMIND-109-pre,lesion,1,10361,8722,0.6422470261489284,0.5209017290435544
FLOOR_US,ReMIND-109-pre,tumor,1,10361,4030,0.32895559724828016,0.35322310088665226
FLOOR_US,ReMIND-109-pre,cavity,0,0,4692,nan,nan
FLOOR_US_HISTM,ReMIND-003-post,lesion,1,2099,4493,0.0024271844660194173,0.01442109600329625
FLOOR_US_HISTM,ReMIND-003-post,tumor,0,0,4284,nan,nan
FLOOR_US_HISTM,ReMIND-003-post,cavity,1,2099,209,0.006932409012131715,0.02831715210355987
