phase,roi,dilation_mm,comparison,metric,n,mean_A,mean_B,stat,p
all,lesion,0.0,pix2pix-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.25906269145167,15.36103028228957,28.0,0.002712249755859375
all,lesion,0.0,pix2pix-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11162791457643192,0.10499907631036795,59.0,0.08969497680664062
all,lesion,0.0,pix2pix-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7374816981498478,0.7566241829868274,19.0,0.0005855560302734375
all,lesion,0.0,pix2pix-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,13.865045480945108,15.36103028228957,6.0,2.6702880859375e-05
all,lesion,0.0,pix2pix-2D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11687500843028198,0.10499907631036795,22.0,0.0010166168212890625
all,lesion,0.0,ResViT-2D+3D-refine-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7363271728093379,0.7566241829868274,35.0,0.0072956085205078125
all,lesion,0.0,ResViT-2D+3D-refine-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.37127600376993,15.36103028228957,25.0,0.001689910888671875
all,lesion,0.0,ResViT-2D+3D-refine-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10029690021371049,0.10499907631036795,83.0,0.4304332733154297
all,lesion,0.0,CycleGAN-2D+3D-post-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7452404699992454,0.7566241829868274,56.0,0.069580078125
all,lesion,0.0,CycleGAN-2D+3D-post-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.597875092034169,15.36103028228957,49.0,0.03623390197753906
all,lesion,0.0,CycleGAN-2D+3D-post-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10747217041983119,0.10499907631036795,85.0,0.47490501403808594
all,lesion,0.0,ResViT-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7354581030415676,0.7566241829868274,46.0,0.026641845703125
all,lesion,0.0,ResViT-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.42254567468419,15.36103028228957,36.0,0.00830841064453125
all,lesion,0.0,ResViT-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.10299712093772004,0.10499907631036795,99.0,0.8408222198486328
all,lesion,0.0,CycleGAN-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7353473984737647,0.7566241829868274,29.0,0.0031528472900390625
all,lesion,0.0,CycleGAN-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,13.893969825392386,15.36103028228957,21.0,0.000850677490234375
all,lesion,0.0,CycleGAN-2.5D-T2+FLAIR  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11300405582524023,0.10499907631036795,38.0,0.01068878173828125
all,lesion,0.0,SwinPix2Pix-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7444789752391128,0.7566241829868274,44.0,0.021484375
all,lesion,0.0,SwinPix2Pix-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.42803833462419,15.36103028228957,40.0,0.013616561889648438
all,lesion,0.0,SwinPix2Pix-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11174030699885754,0.10499907631036795,46.0,0.026641845703125
all,lesion,0.0,pix2pix-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7429738654475321,0.7566241829868274,53.0,0.05316925048828125
all,lesion,0.0,pix2pix-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.1991777104185,15.36103028228957,38.0,0.01068878173828125
all,lesion,0.0,pix2pix-2.5D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.11567787722363043,0.10499907631036795,27.0,0.0023250579833984375
all,lesion,0.0,ResViT-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7373849066965266,0.7566241829868274,64.0,0.13272666931152344
all,lesion,0.0,ResViT-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),psnr,20,14.856209382729352,15.36103028228957,64.0,0.13272666931152344
all,lesion,0.0,ResViT-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),lpips,20,0.09468515180063056,0.10499907631036795,57.0,0.0758514404296875
all,lesion,0.0,pix2pix-2D-T2  vs  BEST(SwinPix2Pix-2D+3D-post-T2+FLAIR),ssim,20,0.7424487581109134,0.7566241829868274,43.0,0.01923370361328125
