method,family,backbone,architecture,target,channel,roi,dilation_mm,phase,n_subjects,ssim_mean,ssim_sd,ssim_ci95,ssim_median,ssim_min,ssim_max,ssim_n,psnr_mean,psnr_sd,psnr_ci95,psnr_median,psnr_min,psnr_max,psnr_n,mae_mean,mae_sd,mae_ci95,mae_median,mae_min,mae_max,mae_n,lpips_mean,lpips_sd,lpips_ci95,lpips_median,lpips_min,lpips_max,lpips_n
ResViT-2D+3D-refine-T2,ResViT,ResViT,2D+3D-refine,t2,t2,cavity,0.0,all,30,0.6832491795649754,0.0829905378209185,0.03945119744649588,0.6560235080923382,0.5950165173937303,0.8688541757815591,17,9.698027171603705,1.6606702396272892,0.7894325213125932,9.49535997301722,6.820298493364,12.421530982987765,17,0.289405659717672,0.06947051909645716,0.033024188510489175,0.2902803421020508,0.16576002538204193,0.4290870428085327,17,0.14411183655822737,0.05855576574674563,0.027835644119941376,0.13491572519498213,0.07050973042211633,0.3338281959295273,17
pix2pix-3D-T2+FLAIR,pix2pix,GAN,3D,t2_flair,t2,cavity,0.0,all,20,0.6829919150122158,0.05747831391257852,0.03562542805385891,0.6867933205820402,0.6017835670577979,0.7810344399621016,10,9.850224656575929,1.7215188674861626,1.0670084486171325,10.065599832487942,7.146064121042809,12.494954321047715,10,0.28901409059762956,0.07331828242447641,0.045443142252196186,0.27594177424907684,0.18730951845645905,0.4160953462123871,10,0.1371872353781125,0.036864670301597305,0.022848959375465917,0.12691839380810657,0.09454697707238105,0.21240026226899186,10
ResViT-2.5D-T2,ResViT,ResViT,2.5D,t2,t2,cavity,0.0,all,30,0.6824827506890633,0.08853941290148325,0.04208896522288596,0.67552748096775,0.5670600213799182,0.8830946218127794,17,10.03613730154109,1.7732233692578365,0.842936882856284,9.422158311419883,7.278312588157903,14.355040985758196,17,0.2748238032355028,0.06190137298603209,0.02942604484803796,0.2883473336696625,0.15003930032253265,0.3742760419845581,17,0.1476511099465172,0.05954800552042345,0.028307324967583296,0.1344085360566775,0.06750742048025131,0.32818398376305896,17
SynDiff-3D-T2,SynDiff,SynDiff,3D,t2,t2,cavity,0.0,all,30,0.6820314451339358,0.09983005287071621,0.04745619477000227,0.6861840273081415,0.4850353153609872,0.8527073589721267,17,9.982990795170243,1.764163833296565,0.838630252831148,10.10570878764211,4.950686610585568,12.178461719779616,17,0.2709386655512978,0.06597701728175728,0.03136348316394933,0.2579271197319031,0.19472980499267578,0.465640664100647,17,0.15208522584880746,0.06723981389241666,0.031963778567859,0.12499414703675679,0.09052471369504929,0.36567047486702603,17
pix2pix-2.5D-T2+FLAIR,pix2pix,GAN,2.5D,t2_flair,t2,cavity,0.0,all,20,0.6818643545287736,0.06606006792249014,0.04094445429601728,0.6871640552420105,0.5735982936572425,0.7692908346227775,10,9.366820348970814,2.3979453468150123,1.4862619241054145,8.664685528173115,6.787607448200679,13.722225567892831,10,0.3182093858718872,0.09314144788890705,0.05772966749938628,0.3356962651014328,0.14030377566814423,0.43561214208602905,10,0.14395631678086843,0.04153766699691334,0.02574531273437107,0.1334651828704712,0.09086615305680495,0.21407479367085866,10
CycleGAN-2D+3D-post-T2,CycleGAN,GAN,2D+3D-post,t2,t2,cavity,0.0,all,30,0.6818112783368144,0.08535343711244928,0.040574448469371756,0.6759455422527919,0.5072533919181933,0.877808611471297,17,9.387697129507607,2.1407327828910403,1.017639768527124,9.052294166571057,5.521706064423938,14.400657896698494,17,0.3101678644033039,0.08484762388461559,0.04033400012373775,0.30747002363204956,0.12044530361890793,0.48943156003952026,17,0.14857342385217448,0.053385677787714934,0.02537794031125417,0.13328731767833232,0.06810723072528069,0.2888408799966176,17
CUT-2.5D-T2+FLAIR,CUT,GAN,2.5D,t2_flair,t2,cavity,0.0,all,20,0.6810386179292973,0.06283246679026203,0.03894396638856697,0.6921195416611109,0.5611992243345322,0.7685558570814404,10,9.220036962031214,2.4511044882560338,1.5192103013262985,8.296065140312276,6.7144160240624595,14.133424786766383,10,0.32574439644813535,0.09215179584044952,0.05711627480480757,0.3537498861551285,0.14136962592601776,0.4391636550426483,10,0.1439391337764602,0.043457875414021505,0.026935470241707605,0.12763714574446733,0.09411499520333913,0.2132659490619387,10
ResViT-2D-T2,ResViT,ResViT,2D,t2,t2,cavity,0.0,all,30,0.6810092321670629,0.09410754928072339,0.044735889239458,0.6903765540559119,0.5274612338294681,0.8671188871965696,17,9.95003727302118,1.8674812709548236,0.8877442450975602,10.08592012581347,6.818368261203486,14.065311714014854,17,0.27733316053362456,0.07111343436647957,0.033805180855006556,0.2619287073612213,0.15639987587928772,0.4150441586971283,17,0.1471609254177932,0.06526804776911387,0.031026460450743205,0.13248535313389517,0.07180757864200055,0.3627531627813975,17
SwinPix2Pix-3D-T2+FLAIR,SwinPix2Pix,GAN,3D,t2_flair,t2,cavity,0.0,all,20,0.6786191191738074,0.06274569879460397,0.03889018702768671,0.680213505830501,0.5816296784092733,0.7770813659603971,10,9.485841867632518,1.6806535174775654,1.0416798422693314,9.40450348424189,6.9931172998255615,12.260143105432892,10,0.30304867029190063,0.0724085901429251,0.044879309134599026,0.30150996148586273,0.18413901329040527,0.422811359167099,10,0.14251741874501248,0.04021042562458808,0.024922680009065414,0.13957996262858313,0.09771900065243244,0.20832023929272378,10
SynDiff-3D+3D-refine-T2,SynDiff,SynDiff,3D+3D-refine,t2,t2,cavity,0.0,all,30,0.6775399203510797,0.07809684422247215,0.03712488317665033,0.6624217563157008,0.5871203734130178,0.8525775284989998,17,9.653665789115035,1.6719395997518904,0.7947896350636894,9.494963883526848,7.080987623052783,12.842120957343443,17,0.2887214842964621,0.06800968156280797,0.032329750427660904,0.28925052285194397,0.17637598514556885,0.4063107371330261,17,0.1482721796821736,0.04281641139195099,0.020353629993568816,0.15308885677502707,0.08819038274281836,0.23992824057737985,17
pix2pix-2D-T2+FLAIR,pix2pix,GAN,2D,t2_flair,t2,cavity,0.0,all,20,0.6762574759570676,0.06009819291097886,0.03724924588034011,0.6828061051121943,0.5657699383085826,0.7653154047158348,10,9.068401168020731,2.4094009801488525,1.4933621992068524,8.174479415669808,6.431124972795938,13.59489924555946,10,0.33128837049007415,0.0966295388793313,0.059891608693654313,0.3597826659679413,0.14296947419643402,0.45426005125045776,10,0.14820850454801035,0.04224548415656447,0.026184022355095,0.1330903586848373,0.10102756113673632,0.2200643973691123,10
SwinPix2Pix-2D-T2+FLAIR,SwinPix2Pix,GAN,2D,t2_flair,t2,cavity,0.0,all,20,0.6743338193707604,0.06501227470824852,0.040295025333538306,0.6762581998872219,0.5730967527494755,0.757949468104224,10,9.390960968287128,2.65956510175481,1.648415528180365,8.556252553837401,6.437051924350003,14.10672424840943,10,0.3198930352926254,0.10110299091868671,0.06266428299344041,0.340411514043808,0.13787125051021576,0.45390215516090393,10,0.14427128754356916,0.042415134333387415,0.02628917262408032,0.13322695188842426,0.09463145540883908,0.21347871954951966,10
