Experiment,Family,Variant,Target,ssim_t2_mean,ssim_t2_sd,ssim_t2_lo,ssim_t2_hi,ssim_t2_n,ssim_t2_str,psnr_t2_mean,psnr_t2_sd,psnr_t2_lo,psnr_t2_hi,psnr_t2_n,psnr_t2_str,mae_t2_mean,mae_t2_sd,mae_t2_lo,mae_t2_hi,mae_t2_n,mae_t2_str,lpips_t2_mean,lpips_t2_sd,lpips_t2_lo,lpips_t2_hi,lpips_t2_n,lpips_t2_str,ssim_flair_mean,ssim_flair_sd,ssim_flair_lo,ssim_flair_hi,ssim_flair_n,ssim_flair_str,psnr_flair_mean,psnr_flair_sd,psnr_flair_lo,psnr_flair_hi,psnr_flair_n,psnr_flair_str,mae_flair_mean,mae_flair_sd,mae_flair_lo,mae_flair_hi,mae_flair_n,mae_flair_str,lpips_flair_mean,lpips_flair_sd,lpips_flair_lo,lpips_flair_hi,lpips_flair_n,lpips_flair_str
cyclegan_2d_3dpost_t2,CycleGAN,2D+3D-post,T2 only,0.8063278119120333,0.03840200809248163,0.7919882664264665,0.8206673573976001,30,0.806 (0.792–0.821),14.680724926034255,1.133711584665931,14.257390063006246,15.104059789062264,30,14.68 (14.26–15.10),0.12396068200469028,0.02468180405231476,0.114744344905295,0.13317701910408555,30,0.124 (0.115–0.133),0.26199195133395514,0.03373898342423876,0.24939360787536458,0.2745902947925457,30,0.262 (0.249–0.275),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
cyclegan_2d_3dpost_t2_flair,CycleGAN,2D+3D-post,T2+FLAIR,0.8066507830946673,0.0253686093961536,0.7947779084264279,0.8185236577629067,20,0.807 (0.795–0.819),14.548455231389948,1.1423410737858133,14.013823151812998,15.083087310966897,20,14.55 (14.01–15.08),0.12410405166447167,0.02502705540690837,0.11239102918376925,0.13581707414517408,20,0.124 (0.112–0.136),0.2687270813678676,0.02442366695517776,0.25729645337524254,0.28015770936049267,20,0.269 (0.257–0.280),0.7865038220327939,0.03742155969762961,0.7689899929836006,0.8040176510819872,20,0.787 (0.769–0.804),14.841485422094493,1.1496208981209664,14.303446279852485,15.379524564336501,20,14.84 (14.30–15.38),0.13321494348347193,0.020180284618240323,0.12377027955648136,0.14265960741046252,20,0.133 (0.124–0.143),0.27265802721017235,0.03686026818962373,0.25540689067292693,0.28990916374741776,20,0.273 (0.255–0.290)
cyclegan_3d_t2,CycleGAN,Full-3D,T2 only,0.7900887933292856,0.04202931234996527,0.7743947901740856,0.8057827964844856,30,0.790 (0.774–0.806),14.252586517875896,0.9652361590633447,13.892161412660826,14.613011623090966,30,14.25 (13.89–14.61),0.13148858894904455,0.023903683570218024,0.12256280681280138,0.14041437108528773,30,0.131 (0.123–0.140),0.20801579631310266,0.031747649033298915,0.19616102933642648,0.21987056328977883,30,0.208 (0.196–0.220),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
cyclegan_3d_t2_flair,CycleGAN,Full-3D,T2+FLAIR,0.7875089519909347,0.02812125944068722,0.7743477974460212,0.8006701065358482,20,0.788 (0.774–0.801),14.253924525775627,1.0253491536910035,13.774046350237775,14.73380270131348,20,14.25 (13.77–14.73),0.13046648018062132,0.0253348128017283,0.11860942280546093,0.1423235375557817,20,0.130 (0.119–0.142),0.23030983299347718,0.02542593395372739,0.21841012960645165,0.24220953638050272,20,0.230 (0.218–0.242),0.7692105779878173,0.037322624414207584,0.7517430520765688,0.7866781038990659,20,0.769 (0.752–0.787),14.541027777826205,1.0048094737058575,14.070762468424656,15.011293087227754,20,14.54 (14.07–15.01),0.13961240239441397,0.017500922555844026,0.1314217185126398,0.14780308627618813,20,0.140 (0.131–0.148),0.23402368905977483,0.03549116586008658,0.21741331213661585,0.2506340659829338,20,0.234 (0.217–0.251)
cut_25d_t2,CUT,2.5D,T2 only,0.7972684282940112,0.0474181694910726,0.7795621928122091,0.8149746637758134,30,0.797 (0.780–0.815),14.92517020075041,0.9759330938465832,14.560750794442777,15.289589607058042,30,14.93 (14.56–15.29),0.11966372082630791,0.02094701524591949,0.11184197678671609,0.12748546486589973,30,0.120 (0.112–0.127),0.2774787454608125,0.039817376187996516,0.2626106928426088,0.29234679807901626,30,0.277 (0.263–0.292),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
cut_25d_t2_flair,CUT,2.5D,T2+FLAIR,0.7896825015284363,0.035524393870004854,0.773056573417939,0.8063084296389337,20,0.790 (0.773–0.806),14.79674753364018,0.9396294865497916,14.356987397237935,15.236507670042426,20,14.80 (14.36–15.24),0.12038953974843021,0.021870806536073744,0.11015368720952498,0.13062539228733544,20,0.120 (0.110–0.131),0.2763622835233031,0.03454000259963042,0.2601970647088949,0.2925275023377113,20,0.276 (0.260–0.293),0.76875180087407,0.0498828605245708,0.7454059035151359,0.7920976982330041,20,0.769 (0.745–0.792),15.155334424833697,1.0009084875421086,14.686894833156028,15.623774016511366,20,15.16 (14.69–15.62),0.1327380839735269,0.020314130635156347,0.12323077818237771,0.1422453897646761,20,0.133 (0.123–0.142),0.2851388976189996,0.04602378738949888,0.26359910208270715,0.306678693155292,20,0.285 (0.264–0.307)
cut_2d_t2,CUT,2D,T2 only,0.7996674218065227,0.04677662932489698,0.7822007413597473,0.8171341022532982,30,0.800 (0.782–0.817),14.893525367935775,1.0258013410481446,14.51048485209371,15.27656588377784,30,14.89 (14.51–15.28),0.11967383200923605,0.021131082812324533,0.11178335601077047,0.12756430800770163,30,0.120 (0.112–0.128),0.2572616139961348,0.03861833050762267,0.24284129239323593,0.27168193559903364,30,0.257 (0.243–0.272),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
cut_2d_t2_flair,CUT,2D,T2+FLAIR,0.7873010059614429,0.03660948347482126,0.7701672402836349,0.8044347716392509,20,0.787 (0.770–0.804),14.496887067102875,1.1063764587661682,13.979086945476466,15.014687188729285,20,14.50 (13.98–15.01),0.12729012072086338,0.02427423802533996,0.1159294276201383,0.13865081382158845,20,0.127 (0.116–0.139),0.24515173390253434,0.03336789574707273,0.22953507798098666,0.260768389824082,20,0.245 (0.230–0.261),0.7687049380527966,0.048118851320144235,0.7461846224145914,0.7912252536910018,20,0.769 (0.746–0.791),14.8447220156339,1.1889467308185584,14.28827781714496,15.40116621412284,20,14.84 (14.29–15.40),0.13934185951948164,0.02410026885565306,0.12806258649644295,0.15062113254252033,20,0.139 (0.128–0.151),0.25420729478551757,0.0425297566372079,0.2343027559777715,0.27411183359326363,20,0.254 (0.234–0.274)
cut_2d_3dpost_t2,CUT,2D+3D-post,T2 only,0.812795158650549,0.038565871923494734,0.7983944254048891,0.8271958918962088,30,0.813 (0.798–0.827),14.899322974475774,1.13440249182895,14.475730122473164,15.322915826478384,30,14.90 (14.48–15.32),0.11985929161310187,0.0232150907145538,0.1111906342748915,0.12852794895131223,30,0.120 (0.111–0.129),0.2558714338241916,0.036250095174302874,0.2423354258280417,0.2694074418203415,30,0.256 (0.242–0.269),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
cut_2d_3dpost_t2_flair,CUT,2D+3D-post,T2+FLAIR,0.8057983313066058,0.027086266966032807,0.7931215681503668,0.8184750944628448,20,0.806 (0.793–0.818),14.640311805222069,1.2137585230651284,14.072255330512638,15.2083682799315,20,14.64 (14.07–15.21),0.1235958598554134,0.026258173280115187,0.11130665647404916,0.13588506323677763,20,0.124 (0.111–0.136),0.2523984304604826,0.02812961444804182,0.2392333656517614,0.2655634952692038,20,0.252 (0.239–0.266),0.7859338663619726,0.03700859739385816,0.7686133096202526,0.8032544231036925,20,0.786 (0.769–0.803),14.873732942242736,1.1721411202988365,14.325154011585708,15.422311872899764,20,14.87 (14.33–15.42),0.13317303061485292,0.020533864338312655,0.12356288628505058,0.14278317494465526,20,0.133 (0.124–0.143),0.26029098193261324,0.038769973387785324,0.2421460758506132,0.2784358880146133,20,0.260 (0.242–0.278)
cut_3d_t2,CUT,Full-3D,T2 only,0.7831710339824449,0.04382486395435484,0.7668065608393,0.7995355071255899,30,0.783 (0.767–0.800),14.265253464971316,1.0538350559556848,13.871744987946649,14.658761941995984,30,14.27 (13.87–14.66),0.13162323758006092,0.024839792587980344,0.1223479065919107,0.14089856856821115,30,0.132 (0.122–0.141),0.20224274233471,0.03149290713453993,0.19048309754631987,0.21400238712310016,30,0.202 (0.190–0.214),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
cut_3d_t2_flair,CUT,Full-3D,T2+FLAIR,0.7728941626827089,0.0333723837472516,0.7572754063124215,0.7885129190529964,20,0.773 (0.757–0.789),14.013405306776482,1.0616386856895876,13.516543107461057,14.510267506091907,20,14.01 (13.52–14.51),0.13482441939413542,0.02693079027490055,0.12222042156920877,0.14742841721906208,20,0.135 (0.122–0.147),0.2174544975505684,0.029986597878797296,0.20342033774377055,0.23148865735736623,20,0.217 (0.203–0.231),0.7503496053415293,0.04163158999733808,0.7308654214606081,0.7698337892224505,20,0.750 (0.731–0.770),14.336316061079804,1.0922372446923838,13.82513329533538,14.847498826824229,20,14.34 (13.83–14.85),0.14421292878687378,0.0197317489410198,0.13497818601861572,0.15344767155513184,20,0.144 (0.135–0.153),0.2185021077719591,0.030588843762081347,0.20418608821557727,0.23281812732834095,20,0.219 (0.204–0.233)
ResViT-2.5d-t2,ResViT,2.5D,T2 only,0.72290536231142,0.057195019727888166,0.701548390953026,0.744262333669814,30,0.723 (0.702–0.744),15.407469337710841,0.9697797870347513,15.045347613928103,15.76959106149358,30,15.41 (15.05–15.77),0.11424268533786133,0.019947323063044194,0.10679423249422425,0.12169113818149842,30,0.114 (0.107–0.122),0.1726203656489029,0.040384456345600714,0.15754056181981602,0.1877001694779898,30,0.173 (0.158–0.188),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
ResViT-2.5d-t2_flair,ResViT,2.5D,T2+FLAIR,0.7290507166131314,0.056635991112500644,0.7025442568506111,0.7555571763756517,20,0.729 (0.703–0.756),15.388054030540243,1.0602337947698304,14.891849340414712,15.884258720665773,20,15.39 (14.89–15.88),0.11314211487770079,0.021425068680657532,0.10311487407661707,0.12316935567878451,20,0.113 (0.103–0.123),0.2050703470258882,0.042098551284723056,0.18536761853523043,0.22477307551654596,20,0.205 (0.185–0.225),0.6916882769672826,0.061174882581561944,0.6630575506080653,0.7203190033265,20,0.692 (0.663–0.720),15.1165871189297,1.0848188284484641,14.60887627886025,15.62429795899915,20,15.12 (14.61–15.62),0.1312444660812616,0.017402956391336204,0.12309963177581883,0.13938930038670438,20,0.131 (0.123–0.139),0.2013182756497148,0.03552703259605475,0.18469111257741147,0.21794543872201813,20,0.201 (0.185–0.218)
ResViT-2d-t2,ResViT,2D,T2 only,0.7197601249999206,0.0564266287136288,0.6986900755616808,0.7408301744381603,30,0.720 (0.699–0.741),15.232212146721478,0.7995022391147055,14.933673104284205,15.530751189158751,30,15.23 (14.93–15.53),0.11757375399271651,0.018376273819009886,0.11071194057795102,0.124435567407482,30,0.118 (0.111–0.124),0.1830522452664315,0.0346642830048198,0.17010838926611227,0.1959961012667507,30,0.183 (0.170–0.196),,,,,0,—,,,,,0,—,,,,,0,—,,,,,0,—
