method,family,backbone,architecture,target,channel,n,ssim_mean,ssim_sd,ssim_ci95,ssim_median,ssim_min,ssim_max,psnr_mean,psnr_sd,psnr_ci95,psnr_median,psnr_min,psnr_max,mae_mean,mae_sd,mae_ci95,mae_median,mae_min,mae_max,lpips_mean,lpips_sd,lpips_ci95,lpips_median,lpips_min,lpips_max,ssim_gauss_mean,ssim_gauss_sd,ssim_gauss_ci95,ssim_gauss_median,ssim_gauss_min,ssim_gauss_max
ResViT-2D+3D-refine-T2,ResViT,ResViT,2D+3D-refine,t2,t2,30,0.7307141683475452,0.0564346910278239,0.0201948948238254,0.7242041571120541,0.6022291345103028,0.8206992650368576,15.162804906120146,0.8469345902301483,0.3030716508029585,15.361056636249824,12.780686146566229,16.209848622844326,0.1170358205835024,0.0178366315224685,0.0063827566173789,0.1171404831111431,0.0864208936691284,0.1665546596050262,0.189516024665893,0.0398405423115026,0.0142567549684693,0.1928431027650856,0.1079628253148661,0.2692001824793608,0.7180540632397192,0.0635904199693274,0.022755539539506,0.7105440898668387,0.5780082470089826,0.8359195331629231
ResViT-2D+3D-refine-T2+FLAIR,ResViT,ResViT,2D+3D-refine,t2_flair,t2,20,0.7296722722435484,0.0564673515573191,0.0247479079719426,0.7266787650788111,0.6148605342868532,0.8189929595972155,15.356608433027688,0.9823366573755542,0.4305280223656052,15.600793057395675,13.307605138453711,16.670983834587457,0.1133898306638002,0.0201154330965682,0.008815977256952,0.1151059605181217,0.0776410773396492,0.1593709886074066,0.2295709413922984,0.0455553918408706,0.0199655307679739,0.2268328731320459,0.1476643408089876,0.3276795308981369,0.7188063956659027,0.0637652746279991,0.0279463637797411,0.7197501825908119,0.5924295387353075,0.8346996219501926
ResViT-2.5D-T2+FLAIR,ResViT,ResViT,2.5D,t2_flair,t2,20,0.7290507166131313,0.0566359911125005,0.0248218175157225,0.7289916441016102,0.6107622963628184,0.812409563755979,15.38805403054025,1.0602337947698317,0.4646679480809892,15.744204982647943,13.284906006371097,16.754150557974427,0.1131421148777008,0.0214250686806574,0.0093899503585401,0.1098876222968101,0.0842625126242637,0.1566745340824127,0.2050703470258882,0.042098551284723,0.0184505035956727,0.2046410318371102,0.1295570460706949,0.3028166474246267,0.7175501165766324,0.0634386257822213,0.0278032036110506,0.7175543117560794,0.588353928790436,0.8289640706602254
SynDiff-ResViT->SynDiff-cascade-T2,SynDiff,SynDiff,ResViT->SynDiff cascade,t2,t2,30,0.7279616396488316,0.0566683655259834,0.0202785141690791,0.7273134041700576,0.5870437996834136,0.8169904380549687,15.29353611563259,0.9786352813045656,0.3502001378387372,15.433783087011186,12.84547197487498,16.80597723253492,0.1152301880220572,0.0207879861361129,0.0074388853021444,0.1138622090220451,0.0864985287189483,0.1665549725294113,0.1801703968102657,0.0446887960176131,0.0159916802757745,0.171804149593744,0.0968152047031455,0.2954197621612406,,,,,,
SynDiff-2D-T2,SynDiff,SynDiff,2D,t2,t2,30,0.7263469218132582,0.0555309033118632,0.0198714785432632,0.7210655719940099,0.5929736542716112,0.8099953096645373,14.66929180616923,0.9193270324349652,0.3289769535474238,14.893594236836634,12.395290186424482,16.16290847347114,0.1241404376924038,0.0208257454763247,0.0074523973085062,0.1209556385874748,0.0866279006004333,0.1800818443298339,0.187595822059723,0.0396201513896542,0.0141778890899503,0.1826647678518796,0.115020973359545,0.2841095755071337,,,,,,
SynDiff-2.5D-T2,SynDiff,SynDiff,2.5D,t2,t2,30,0.7262477833896621,0.0557803617671797,0.0199607461050462,0.720630210054467,0.594406732649831,0.8109883691407033,14.626533139216692,0.9262666273175578,0.3314602556834241,14.888075614732294,12.47051466693948,16.115286158822077,0.1251054855684439,0.0208286440170342,0.0074534345379781,0.1224201433360576,0.0892493054270744,0.1742414981126785,0.1857300764535434,0.0397133891644488,0.0142112537991619,0.1841663074385152,0.1094481193357043,0.2841278454149837,,,,,,
ResViT-2.5D-T2,ResViT,ResViT,2.5D,t2,t2,30,0.7229053623114197,0.0571950197278881,0.0204669749548526,0.7225028184916331,0.584373148722047,0.8126665125523438,15.40746933771084,0.9697797870347556,0.3470312399120411,15.550869312755507,13.025652784559387,16.87374180112013,0.1142426853378613,0.0199473230630442,0.0071380578849352,0.1121809929609298,0.0868455991148948,0.1627395898103714,0.1726203656489028,0.0403844563456007,0.0144513921058712,0.1670083017392748,0.0925899201383193,0.2792163232980824,0.7087742081513517,0.0643388083949987,0.0230233468982164,0.7074937909855685,0.5569602680784406,0.8300387081602227
ResViT-2D-T2,ResViT,ResViT,2D,t2,t2,30,0.7197601249999205,0.0564266287136287,0.0201920097617431,0.7144443431120358,0.6014348852282263,0.8099991714171366,15.23221214672147,0.799502239114705,0.2860982019441552,15.250603192097673,13.068676340998524,16.32535745322189,0.1175737539927164,0.0183762738190098,0.006575865133128,0.1183938756585121,0.0832211226224899,0.1656479388475418,0.1830522452664315,0.0346642830048198,0.0124044543644354,0.1859689570705658,0.1091246732821067,0.2562417068532598,0.7062875997086785,0.0638785363500499,0.0228586406622329,0.7004807916261736,0.5759146941447142,0.8244627992082979
SynDiff-ResViT+SynDiff-joint-T2,SynDiff,SynDiff,ResViT+SynDiff joint,t2,t2,30,0.7189347567768422,0.0574495583432102,0.0205580604285464,0.7190359522744723,0.5820553988778169,0.8071234059897536,15.196329345559024,0.963011914876042,0.3446093879635839,15.321692934123227,12.77686217972401,16.555539282388626,0.1172803995509942,0.0205749387613632,0.0073626472782055,0.115978755056858,0.0892292335629463,0.1689697057008743,0.1671358723852102,0.0362087784181937,0.0129571449499759,0.1659547813158594,0.0950866459144486,0.2610778664586259,,,,,,
ResViT-2D-T2+FLAIR,ResViT,ResViT,2D,t2_flair,t2,20,0.713752986917946,0.0605350233317094,0.0265306437290906,0.7179931315999956,0.5871642097382668,0.8145391985906039,15.303423035228,0.9087227681343965,0.3982653129210569,15.471861990892677,13.100341265143015,16.414406913869627,0.113730676844716,0.0205775921935959,0.0090185274117973,0.1136731877923011,0.0813141912221908,0.1627214699983596,0.2093472717288136,0.0405865518789553,0.0177878406388385,0.2137258985578666,0.1380319149419665,0.2946599400532779,0.7017182649702338,0.0680859586084998,0.0298399870253211,0.7046529464405278,0.5617674332851121,0.8298300054733465
ResViT-3D-T2,ResViT,ResViT,3D,t2,t2,30,0.7080702007492069,0.0546436431919755,0.0195539765869989,0.7093093230687086,0.5762797803447369,0.7990320961491455,14.753239322402084,1.1859252334148398,0.4243778945458462,14.778200736324212,12.318353437108703,16.675924917754386,0.1250641686220963,0.0246968452232517,0.0088376525622859,0.1200295984745025,0.0878393650054931,0.1775498539209365,0.1655223016429766,0.0345198332066867,0.0123527636680305,0.1551757440798712,0.1090675767097208,0.2674851169559493,0.6874904762576962,0.0634285771990253,0.0226976248479445,0.686675694575271,0.5434105128142819,0.7978794246060884
